iter	Passed	Remaining
0	1	129
1	2	118
2	3	108
3	4	97
4	5	95
5	5	93
6	6	91
7	7	90
8	8	89
9	9	87
10	10	88
11	11	87
12	12	85
13	13	84
14	14	83
15	15	82
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	27	68
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	54
42	40	54
43	41	53
44	43	52
45	44	51
46	45	50
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	46
53	54	46
54	55	45
55	56	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	28
73	76	27
74	77	25
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
